Gene,Slope,Pvalue,R2,N,Class
PRODH,0.09880534431421366,0.6929331430982073,0.004508968773328648,37,NotSignificant
LARGE1,NA,NA,NA,3,Unknown
RHBDD3,NA,NA,NA,16,Unknown
SCARF2,0.3868148303224144,0.05473711628394066,0.12552817205254593,30,NotSignificant
TOP3B,0.2809420588084185,0.16239013126188778,0.05499483883410111,37,NotSignificant
HDHD5,0.07060450326882206,0.6564738618736012,0.005717307544560142,37,NotSignificant
GAL3ST1,NA,NA,NA,7,Unknown
SNRPD3,0.10354839842110235,0.6571828702693756,0.005692193105730865,37,NotSignificant
SFI1,NA,NA,NA,9,Unknown
EIF4ENIF1,0.27275041534506245,0.12647576157064994,0.06543620589620862,37,NotSignificant
EIF3L,-0.18218544225792563,0.31538861117884925,0.02878998933891395,37,NotSignificant
H1-0,0.14342437843126934,0.48909149192921475,0.013772856939650677,37,NotSignificant
DDX17,0.18114118851585598,0.3304894053693297,0.027071693791839827,37,NotSignificant
NPTXR,NA,NA,NA,24,Unknown
SOX10,NA,NA,NA,22,Unknown
TOMM22,-0.04829996363130717,0.8190495523944403,0.0015156335945689168,37,NotSignificant
MICALL1,0.1263031535485129,0.5219959633311191,0.011810827582823442,37,NotSignificant
POLR2F,0.1638502854651211,0.45806582997635037,0.018488748399539973,32,NotSignificant
JOSD1,NA,NA,NA,16,Unknown
KDELR3,NA,NA,NA,12,Unknown
GCAT,-0.10037571315050935,0.5259330483062092,0.011590145824821632,37,NotSignificant
BAIAP2L2,NA,NA,NA,8,Unknown
PICK1,NA,NA,NA,29,Unknown
CBX6,NA,NA,NA,28,Unknown
CBY1,NA,NA,NA,9,Unknown
PLA2G6,NA,NA,NA,6,Unknown
MAFF,-0.12145424131045947,0.44684564609221067,0.01712227969849128,36,NotSignificant
TMEM184B,NA,NA,NA,27,Unknown
SUN2,0.2190481120393564,0.2387497503202352,0.03942630705750528,37,NotSignificant
ANKRD54,0.10867235178088014,0.5988660678710735,0.00798757481614955,37,NotSignificant
GTPBP1,0.18738558336367397,0.3551810169039884,0.024470830142447844,37,NotSignificant
DNAL4,NA,NA,NA,24,Unknown
CSNK1E,0.08462652382610122,0.7246337429492054,0.0035901344144054284,37,NotSignificant
RTL6,NA,NA,NA,4,Unknown
APOBEC3B,NA,NA,NA,27,Unknown
CELSR1,-0.2739043602506737,0.21163899912879638,0.046863240687535807,35,NotSignificant
