SegmentID,Gene
seg1,P2RX6P
seg1,PRAMENP
seg1,CECR7
seg1,USP41P
seg1,FAM247A
seg1,SMPD4P1
seg1,POM121L4P
seg1,POM121L1P
seg1,BCRP2
seg1,TMEM191A
seg1,CRYBB2P1
seg1,ISCA2P1
seg1,AP1B1P1
seg1,AP1B1P2
seg1,PI4KAP1
seg1,RN7SKP131
seg1,RIMBP3
seg1,SUSD2P2
seg1,CA15P2
seg1,PPP1R26P2
seg1,GUSBP11
seg1,RGL4
seg1,VPREB3
seg1,C22orf42
seg1,PDXP
seg1,RFPL1
seg1,RPL34P35
seg1,RN7SL633P
seg1,SELENOM
seg1,RPS15AP37
seg1,SNRPNP2
seg1,MIR3928
seg1,RNU6-1128P
seg1,RNA5SP496
seg1,RTL10
seg1,RN7SL20P
seg1,RPL17P52
seg1,RNU6-201P
seg1,RPS17P16
seg1,RNA5SP497
seg1,ETFRF1P1
seg1,SYN3
seg1,DRICH1
seg1,TMEM191B
seg1,POM121L15P
seg1,LINC01399
seg1,PI4KAP2
seg1,TUBA3FP
seg1,RNF185-AS1
seg1,RNU6-338P
seg1,RNU6-28P
seg1,H2AZP6
seg1,RPS26P59
seg1,RPS18P14
seg1,MIR7109
seg1,SEZ6L-AS1
seg1,RNA5SP495
seg1,VPREB1
seg1,LHFPL7
seg1,INPP5J
seg1,CES5AP1
seg1,ZDHHC8BP
seg1,MIATNB
seg1,RPL15P22
seg1,MIF-AS1
seg1,MIR6818
seg1,CNN2P1
seg1,RPL36P17
seg1,RPS3AP51
seg1,TPTEP1
seg1,SLC25A15P5
seg1,PARP4P3
seg1,ANKRD62P1-PARP4P3
seg1,ANKRD62P1
seg1,VWFP1
seg1,XKR3
seg1,HSFY1P1
seg1,GPM6BP3
seg1,ZNF402P
seg1,MTND1P17
seg1,IGKV1OR22-5
seg1,IGKV2OR22-4
seg1,IGKV2OR22-3
seg1,IGKV3OR22-2
seg1,IGKV1OR22-1
seg1,GAB4
seg1,IL9RP6
seg1,MIAT
seg1,LARGE-AS1
seg1,TTC28-AS1
seg1,PIK3IP1-DT
seg1,LINC01521
seg1,LINC01640
seg1,CACNG2-DT
seg1,MYH9-DT
seg1,PCAT14
seg1,CECR3
seg1,RFPL3S
seg1,UFD1-AS1
seg1,LINC02558
seg1,THAP7-AS1
seg1,FAM230E
seg1,TFIP11-DT
seg1,HORMAD2-AS1
seg1,FAM230F
seg1,SYN3-AS1
seg1,LINC01637
seg1,LARGE1-AS1
seg1,DGCR5
seg1,CABP7-DT
seg1,FAM230I
seg1,ZNRF3-AS1
seg1,LINC02885
seg1,LINC01634
seg1,LINC01643
seg1,LINC01311
seg1,LINC01638
seg1,NCF4-AS1
seg1,LINC00895
seg1,HDHD5-AS1
seg1,GRK3-AS1
seg1,YWHAH-AS1
seg1,LINC00896
seg1,LINC02891
seg1,KIAA1671-AS1
seg1,MYO18B-AS1
seg1,FAM230A
seg1,FAM230D
seg1,FAM230J
seg1,MORC2-AS1
seg1,LINC02554
seg1,LINC01665
seg1,LINC02559
seg1,PDXP-DT
seg1,LIF-AS1
seg1,FAM230G
seg1,LINC01664
seg1,PPM1F-AS1
seg1,IL2RB-AS1
seg1,LINC01659
seg1,HMGB1P10
seg1,GGTLC4P
seg1,POM121L10P
seg1,BCRP7
seg1,CA15P1
seg1,RFPL1S
seg1,RFPL4AP6
seg1,TSSK1A
seg1,IGLL3P
seg1,BCRP1
seg1,ASLP1
seg1,CCDC74BP1
seg1,IGLL4P
seg1,BCRP5
seg1,POM121L8P
seg1,BCRP6
seg1,CSF2RBP1
seg1,CCDC188BP
seg1,VN1R9P
seg1,IGLV3-13
seg1,IGLV3-12
seg1,IGLV2-11
seg1,IGLJ5
seg1,LINC00528
seg1,FAM247B
seg1,FAM246B
seg1,FAM230H
seg1,FAM246A
seg1,ADORA2A-AS1
seg1,FAM230B
seg1,GGT2P
seg1,CRYBB2
seg1,C22orf39
seg1,RANBP1
seg1,RAB36
seg1,IL2RB
seg1,UPB1
seg1,SEC14L3
seg1,HORMAD2
seg1,TST
seg1,CYTH4
seg1,RAC2
seg1,MMP11
seg1,SF3A1
seg1,CHCHD10
seg1,SLC5A1
seg1,GNB1L
seg1,C1QTNF6
seg1,APOL4
seg1,SERPIND1
seg1,ADA2
seg1,PIK3IP1
seg1,UQCR10
seg1,CRKL
seg1,LGALS1
seg1,DDTL
seg1,CARD10
seg1,NOL12
seg1,GP1BB
seg1,SLC7A4
seg1,KIAA1671
seg1,CSF2RB
seg1,DGCR6L
seg1,PVALB
seg1,HSCB
seg1,CDC42EP1
seg1,UFD1
seg1,LZTR1
seg1,IFT27
seg1,MCM5
seg1,THAP7
seg1,RASD2
seg1,UBE2L3
seg1,FBXO7
seg1,MIF
seg1,SLC25A1
seg1,PRR14L
seg1,ZNF74
seg1,ZDHHC8
seg1,CECR2
seg1,MRPL40
seg1,DERL3
seg1,HIC2
seg1,SDF2L1
seg1,DGCR6
seg1,CDC45
seg1,MTFP1
seg1,ATP6V1E1
seg1,XBP1
seg1,ARVCF
seg1,MPST
seg1,HIRA
seg1,LRRC75B
seg1,PEX26
seg1,CCDC117
seg1,NIPSNAP1
seg1,SH3BP1
seg1,SNAP29
seg1,DDT
seg1,ELFN2
seg1,CABIN1
seg1,ADORA2A
seg1,TPST2
seg1,GGT5
seg1,PATZ1
seg1,TXN2
seg1,BCL2L13
seg1,SEPTIN5
seg1,TFIP11
seg1,SRRD
seg1,RASL10A
seg1,HMGXB4
seg1,SLC25A18
seg1,KREMEN1
seg1,OSBP2
seg1,CCDC157
seg1,PES1
seg1,SGSM1
seg1,MB
seg1,APOL2
seg1,CRYBB1
seg1,YWHAH
seg1,FOXRED2
seg1,SLC2A11
seg1,TCN2
seg1,GRK3
seg1,SPECC1L
seg1,PLA2G3
seg1,SMARCB1
seg1,TIMP3
seg1,USP18
seg1,RNF215
seg1,KCTD17
seg1,TRMT2A
seg1,APOL1
seg1,SEC14L4
seg1,GGT1
seg1,ESS2
seg1,GUCD1
seg1,BID
seg1,SMTN
seg1,GAS2L1
seg1,DRG1
seg1,ZMAT5
seg1,AP1B1
seg1,CABP7
seg1,RTCB
seg1,TOM1
seg1,YDJC
seg1,RBFOX2
seg1,ASPHD2
seg1,TUBA8
seg1,MED15
seg1,CHEK2
seg1,DGCR8
seg1,DGCR2
seg1,CASTOR1
seg1,APOL3
seg1,MYH9
seg1,C22orf15
seg1,MTMR3
seg1,GNAZ
seg1,TMPRSS6
seg1,PI4KA
seg1,KLHL22
seg1,GGA1
seg1,SEZ6L
seg1,THOC5
seg1,TANGO2
seg1,NF2
seg1,ISX
seg1,BCR
seg1,P2RX6
seg1,EIF3D
seg1,APOL6
seg1,SUSD2
seg1,MORC2
seg1,SSTR3
seg1,EWSR1
seg1,HPS4
seg1,DEPDC5
seg1,ASCC2
seg1,EMID1
seg1,AIFM3
seg1,LIMK2
seg1,IL17RA
seg1,GGTLC3
seg1,TBC1D10A
seg1,ZNRF3
seg1,MAPK1
seg1,ZNF70
seg1,RNF185
seg1,GSTT2B
seg1,COMT
seg1,CLTCL1
seg1,PRODH
seg1,DUSP18
seg1,LARGE1
seg1,RHBDD3
seg1,SCARF2
seg1,TOP3B
seg1,MFNG
seg1,HDHD5
seg1,GAL3ST1
seg1,SNRPD3
seg1,SFI1
seg1,EIF4ENIF1
seg1,"PISD"""
seg1,ACH-000463
seg2,NCF4
seg2,RN7SKP214
seg2,RPL39P41
seg2,CIMIP4
seg2,CACNG2-DT
seg2,NCF4-AS1
seg2,IL2RB-AS1
seg2,CSF2RBP1
seg2,IL2RB
seg2,TST
seg2,CYTH4
seg2,RAC2
seg2,C1QTNF6
seg2,CSF2RB
seg2,PVALB
seg2,IFT27
seg2,MPST
seg2,ELFN2
seg2,KCTD17
seg2,TMPRSS6
seg2,"SSTR3""ACH-000986"
seg3,NCF4
seg3,TRIOBP
seg3,RN7SKP214
seg3,RPL39P41
seg3,CIMIP4
seg3,RNU6-900P
seg3,MIR6820
seg3,MIR4534
seg3,RPS29P31
seg3,PRDX3P1
seg3,MIR658
seg3,MIR659
seg3,EIF3L
seg3,H1-0
seg3,FAM227A
seg3,RN7SL704P
seg3,RN7SL385P
seg3,TPTEP2-CSNK1E
