"CellID","GPX4_protex","CBS","TST","MPST_protex","AIFM2_protex","Erastin_log2","CellLineName","MPST_CN","GPX4_CN","AIFM2_CN"
"ACH-000849",0.693912282766292,1.44508121565069,1.52421883291393,0.143679644196592,-1.28590811552566,-2.06851681714,"MDA-MB-468",1.06145146542956,0.859309218020261,1.05939961785444
"ACH-000441",0.7202021681678,0.0734150020259021,0.649362229189688,1.00004705010071,0.857103361986845,-0.0816462495273,"SH-4",1.45082621478505,0.924051242268122,0.900363987871036
"ACH-000248",-0.987816569595475,-1.61827602959258,-0.138665432521617,-0.271533165504528,1.00118155380185,NA,"AU565",0.959805655389949,0.728728537303086,1.42935255730464
"ACH-000684",-0.743698099216283,-0.720024183723368,-0.874138660604631,-0.218137363752836,-0.344476592366587,-2.05623034909,"KMRC-1",1.01551706049938,1.15034363564614,0.967830702073198
"ACH-000856",0.916936782053383,1.47819160542826,-0.184998244090884,0.117864340092026,-0.858387062359278,0.651328438695,"CAL-51",0.985715277306436,1.1258130598654,1.01189014680251
"ACH-000348",0.184687071953319,-0.421969573487812,-1.05932776830161,-0.547843750570111,0.272408384003607,0.115757133611,"RPMI-7951",0.925799109851778,1.12067468154173,0.894320684473023
"ACH-000062",-0.0268297033119701,-0.263885863268466,0.281931698487828,-0.423024188195284,0.076276573777339,0.110691133946,"RERF-LC-MS",0.915223696817632,0.966714757735263,0.863214722383503
"ACH-000484",-0.0845511231288021,-1.63688445269148,-0.0112706035413264,0.275854176177293,-0.993344328767782,0.860117556886,"VMRC-RCW",0.997219374839669,1.08080543523255,0.96087062056348
"ACH-000739",-0.650886448714982,0.208998956409228,1.72170138330182,1.46750688431415,0.26822393461783,0.883904608837,"Hep G2",0.986996287833621,1.04638624543317,0.950208048445311
"ACH-000361",-0.666890868307389,0.190834867376711,-1.00345075389057,-0.431728198332852,-0.798899603039766,-3.73975486197,"SK-HEP-1",1.03907360702614,0.927656518944356,1.01529821010389
"ACH-001239",1.19271371076882,-0.696972462845665,-0.645235636898569,-0.474338449577985,-0.170941658413668,0.961470257198,"WM-266-4",1.07182074612305,1.11784303538903,0.898020341184978
"ACH-000250",-0.792248697892374,-2.26565015655818,-0.204539645825806,-0.363806050983419,-0.19997050801883,-0.51999037335,"KMRC-20",1.16626755465299,0.778926266079443,1.00349078801559
"ACH-000014",0.151976543040669,-1.1431965810267,-0.799464831815182,-1.19878684305799,-0.101130932609213,0.569814770119,"Hs 294T",0.901000634531494,1.15544029707432,0.883266267153409
"ACH-000713",-0.0374039638843217,0.522737711451072,0.742428847202347,-0.073220362645153,0.918741235123215,1.52719600761,"Caov-3",1.19953546683821,0.746331000905605,1.18296394267784
"ACH-000753",0.290654031253883,0.0614267937077838,-1.27958312734033,-0.570699790795023,0.513312524199808,1.09379514235,"JMSU-1",1.22361252270615,1.28438400769442,1.37160267380698
"ACH-000023",0.240368377069104,-1.34165601675062,-1.00222404871868,-0.199504644463753,0.168014883840688,-0.691730381294,"PA-TU-8988T",0.785122646257091,1.09426834057084,1.08005008460484
"ACH-000711",-0.626707190398721,0.673959765644161,-0.188629857398211,-0.335942471660722,-0.465687527173752,0.55299910772,"JIMT-1",0.88159804813914,0.937757927721129,1.1837698779849
"ACH-000278",-0.124196046863395,0.50852007169835,-0.175777814731311,-0.532983997286473,-0.0191979433666576,-0.0143555004014,"COV362",0.689535550968033,0.6943064352307,1.16333758348861
"ACH-000219",-0.0832596950029492,-0.565261647181129,-0.87080760379822,-0.537031094097692,-0.175941411587492,0.418917986531,"A-375",0.808878063845292,0.924901927025222,0.786798162412993
"ACH-000788",-0.0721942327628053,0.055503216022568,-0.596140646716002,-0.0551381568785068,0.0641382240549406,0.0258540847904,"A2058",0.998487024173102,0.639208642947179,0.978108257363661
"ACH-000651",0.0994148520975793,-0.102210124316915,0.491785534531135,0.554460617249679,0.652318898911367,0.232016879986,"SW 620",1.00758010940977,1.06253625055525,1.33274205718528
"ACH-000935",0.71038733461997,-0.884269626443846,-0.673626536075831,-0.0439740701195244,-0.460260088643793,NA,"MDST8",1.00154190308702,1.07591645358016,1.02189805892295
"ACH-000475",-0.3978038840169,0.247652495122975,1.54116299789818,1.12173992582909,1.06425948704193,0.821279794455,"huH-1",0.835865339695272,1.08612980015205,1.15949088018352
"ACH-000971",-0.380308927857208,-1.35272498076739,-0.0704437532618717,-0.0254647575795707,0.578390914236254,0.15037200778,"HCT 116",1.07031153164363,1.10726405610454,0.9925019862786
"ACH-000393",-1.21210055040245,0.679764148428013,-0.110096145963643,-0.323127663374903,0.123662758986859,-0.340612075786,"HLF",1.11654348190388,0.920699847188113,1.11820542862057
"ACH-000552",0.646320614147653,-1.10066017402736,0.488142891001774,-0.2986014912663,0.348984944203651,0.794782673946,"HT-29",0.768136396231859,0.826630647197043,0.988155772069612
"ACH-000528",0.152738757850154,1.64633307936776,-1.05424242898016,-1.05128753262462,-2.02057381576735,0.221970444722,"ABC-1",0.788819152435775,1.8746163939867,1.21588546883625
"ACH-000783",1.81534250151043,0.52495815604761,-0.668679888466361,-0.0423844421802784,-2.17397465857414,0.406285678284,"CAMA-1",1.10402653050604,1.15150947310117,0.873168642834097
"ACH-000943",-1.10949193671414,-1.67857893913222,-0.599515943596168,0.0317281125798233,0.910062657078159,0.0635628375247,"RKO",0.966164812569515,1.10307809553695,1.00255373621029
"ACH-000986",0.286009415137676,-1.27253299516128,0.701625819211164,0.0815735682070357,1.24061313324568,-1.22686830527,"HT115",0.95378300471201,0.861114713624926,0.954946229975969
